region,issuer,card_name,image_asset_slug,official_source_page,source_scope,source_confidence,image_strategy,hotlink_policy,extraction_status,notes
IN,HDFC Bank,HDFC Bank Diners Club Privilege Credit Card,hdfc-bank-diners-club-privilege-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,HDFC Bank Diners Club Rewardz Credit Card,hdfc-bank-diners-club-rewardz-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,official_search_snippet,medium,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank Neo Credit Card,axis-bank-neo-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank Rewards Credit Card,axis-bank-rewards-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Airtel Axis Bank Credit Card,airtel-axis-bank-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank ACE Credit Card,axis-bank-ace-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank SELECT Credit Card,axis-bank-select-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank MAGNUS Credit Card,axis-bank-magnus-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank HORIZON Credit Card,axis-bank-horizon-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,IndianOil Axis Bank Credit Card,indianoil-axis-bank-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Pride Platinum Credit Card,pride-platinum-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Pride Signature Credit Card,pride-signature-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Buzz Credit Card,buzz-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,super.money RuPay Credit Card,super-money-rupay-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank Reserve Credit Card,axis-bank-reserve-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,MY Zone Easy Credit Card,my-zone-easy-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,IndianOil Easy Credit Card,indianoil-easy-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Privilege Easy Credit Card,privilege-easy-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank Atlas Credit Card,axis-bank-atlas-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank AURA Credit Card,axis-bank-aura-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank Signature Credit Card with Lifestyle Benefits,axis-bank-signature-credit-card-with-lifestyle-benefits,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank Platinum Credit Card,axis-bank-platinum-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank Titanium Smart Traveler Credit Card,axis-bank-titanium-smart-traveler-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Flipkart Axis Bank Super Elite Credit Card,flipkart-axis-bank-super-elite-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,SpiceJet Axis Bank Voyage Black Credit Card,spicejet-axis-bank-voyage-black-credit-card,https://www.axisbank.com/retail/cards/credit-card/spicejet-axis-bank-voyage-black-credit-card,official_product_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Samsung Axis Bank Infinite Credit Card,samsung-axis-bank-infinite-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Samsung Axis Bank Signature Credit Card,samsung-axis-bank-signature-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Miles and More Axis Bank Credit Card,miles-and-more-axis-bank-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank Freecharge Credit Card,axis-bank-freecharge-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank Freecharge Plus Credit Card,axis-bank-freecharge-plus-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,LIC Axis Bank Signature Credit Card,lic-axis-bank-signature-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,LIC Axis Bank Platinum Credit Card,lic-axis-bank-platinum-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Kwik Axis Bank Credit Card,kwik-axis-bank-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Axis Bank Privilege Credit Card,axis-bank-privilege-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,Axis Bank,Flipkart Axis Bank Credit Card,flipkart-axis-bank-credit-card,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,CASHBACK SBI Card,cashback-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Flipkart SBI Card,flipkart-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,IndiGo SBI Card,indigo-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,SimplyCLICK SBI Card,simplyclick-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Tata Neu Infinity SBI Card,tata-neu-infinity-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,SBI Card Miles Elite,sbi-card-miles-elite,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,SBI Card ELITE,sbi-card-elite,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,SBI Card PRIME,sbi-card-prime,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,SBI Card PULSE,sbi-card-pulse,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Tata Neu Plus SBI Card,tata-neu-plus-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Doctor's SBI Card in association with IMA,doctor-s-sbi-card-in-association-with-ima,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,SBI Card ELITE Advantage,sbi-card-elite-advantage,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,PhonePe SBI Card SELECT BLACK,phonepe-sbi-card-select-black,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,PhonePe SBI Card PURPLE,phonepe-sbi-card-purple,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,OLA Money SBI Card,ola-money-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Apollo SBI Card SELECT,apollo-sbi-card-select,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Apollo SBI Card,apollo-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Tata Card SELECT,tata-card-select,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Tata Card,tata-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Paytm SBI Card SELECT,paytm-sbi-card-select,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Paytm SBI Card,paytm-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Landmark Rewards SBI Card PRIME,landmark-rewards-sbi-card-prime,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Landmark Rewards SBI Card SELECT,landmark-rewards-sbi-card-select,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Landmark Rewards SBI Card,landmark-rewards-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Titan SBI Card,titan-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Reliance SBI Card,reliance-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Reliance SBI Card PRIME,reliance-sbi-card-prime,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,SBI Card Unnati,sbi-card-unnati,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,SimplyCLICK Advantage SBI Card,simplyclick-advantage-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,SimplySAVE Advantage SBI Card,simplysave-advantage-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Shaurya SBI Card,shaurya-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Shaurya Select SBI Card,shaurya-select-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,SimplySAVE SBI Card,simplysave-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,IndiGo SBI Card ELITE,indigo-sbi-card-elite,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,KrisFlyer SBI Card,krisflyer-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,KrisFlyer SBI Card Apex,krisflyer-sbi-card-apex,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,SBI Card Miles PRIME,sbi-card-miles-prime,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,SBI Card Miles,sbi-card-miles,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,BPCL SBI Card OCTANE,bpcl-sbi-card-octane,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,IRCTC SBI Card Premier,irctc-sbi-card-premier,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Etihad Guest SBI Premier Card,etihad-guest-sbi-premier-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,SBI Card,Etihad Guest SBI Card,etihad-guest-sbi-card,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
