region,issuer,card_name,reward_program,source_url,source_scope,source_confidence,status,notes
IN,HDFC Bank,Paytm HDFC Bank Select Credit Card,Paytm Cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,active_public,Premium Paytm co-brand
IN,HDFC Bank,Paytm HDFC Bank Mobile Credit Card,Paytm Cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,medium,active_public,Variant family visible via official snippet
IN,HDFC Bank,Paytm HDFC Bank Digital Credit Card,Paytm Cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,medium,active_public,Variant family visible via official snippet
IN,HDFC Bank,EasyEMI HDFC Bank Credit Card,HDFC Reward Points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,active_public,EMI-focused card
IN,HDFC Bank,Tata Neu Infinity HDFC Bank Credit Card,NeuCoins,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,active_public,Important Tata ecosystem card
IN,HDFC Bank,Tata Neu Plus HDFC Bank Credit Card,NeuCoins,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,active_public,Mass-premium Tata ecosystem card
IN,HDFC Bank,IndianOil HDFC Bank Credit Card,IndianOil Fuel Points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,active_public,Fuel co-brand
IN,HDFC Bank,IRCTC HDFC Bank Credit Card,IRCTC Reward Points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,active_public,Rail co-brand
IN,HDFC Bank,PIXEL Play Credit Card,HDFC Pixel Cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,active_public,Digital-first card
IN,HDFC Bank,PIXEL Go Credit Card,HDFC Pixel Cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,active_public,Digital-first card
IN,HDFC Bank,HDFC Bank Diners Club Privilege Credit Card,HDFC Diners Club Rewards,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,official_search_snippet,high,active_public,Mid-premium Diners card
IN,HDFC Bank,HDFC Bank Diners Club Rewardz Credit Card,HDFC Diners Club Rewards,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,official_search_snippet,medium,active_public,Visible via official snippet
IN,Axis Bank,Axis Bank Neo Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Mass-market rewards card
IN,Axis Bank,Axis Bank Rewards Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Core rewards card
IN,Axis Bank,Airtel Axis Bank Credit Card,Airtel Cashback,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Important cashback co-brand
IN,Axis Bank,Axis Bank ACE Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Popular cashback card
IN,Axis Bank,Axis Bank SELECT Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Mid-premium lifestyle card
IN,Axis Bank,Axis Bank MAGNUS Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Premium rewards card
IN,Axis Bank,Axis Bank HORIZON Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Travel-oriented card
IN,Axis Bank,IndianOil Axis Bank Credit Card,IndianOil Fuel Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Fuel co-brand
IN,Axis Bank,Pride Platinum Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Accessibility-focused product
IN,Axis Bank,Pride Signature Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Accessibility-focused product
IN,Axis Bank,Buzz Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Student/entry card
IN,Axis Bank,super.money RuPay Credit Card,super.money Cashback,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Fintech co-brand
IN,Axis Bank,Axis Bank Reserve Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Ultra-premium card
IN,Axis Bank,MY Zone Easy Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Secured/easy variant
IN,Axis Bank,IndianOil Easy Credit Card,IndianOil Fuel Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Secured/easy variant
IN,Axis Bank,Privilege Easy Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Secured/easy variant
IN,Axis Bank,Axis Bank Atlas Credit Card,Axis EDGE Miles,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Important travel card
IN,Axis Bank,Axis Bank AURA Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Wellness card
IN,Axis Bank,Axis Bank Signature Credit Card with Lifestyle Benefits,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Lifestyle card
IN,Axis Bank,Axis Bank Platinum Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Classic product
IN,Axis Bank,Axis Bank Titanium Smart Traveler Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Travel-focused product
IN,Axis Bank,Flipkart Axis Bank Super Elite Credit Card,Flipkart SuperCoins,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Premium Flipkart co-brand
IN,Axis Bank,SpiceJet Axis Bank Voyage Black Credit Card,SpiceClub,https://www.axisbank.com/retail/cards/credit-card/spicejet-axis-bank-voyage-black-credit-card,official_product_page,high,active_public,Live Axis product page confirms ongoing public availability
IN,Axis Bank,Samsung Axis Bank Infinite Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Electronics co-brand
IN,Axis Bank,Samsung Axis Bank Signature Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Electronics co-brand
IN,Axis Bank,Miles and More Axis Bank Credit Card,Miles and More,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Lufthansa ecosystem card
IN,Axis Bank,Axis Bank Freecharge Credit Card,Freecharge Cashback,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Fintech co-brand
IN,Axis Bank,Axis Bank Freecharge Plus Credit Card,Freecharge Cashback,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Fintech co-brand
IN,Axis Bank,LIC Axis Bank Signature Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Insurance co-brand
IN,Axis Bank,LIC Axis Bank Platinum Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Insurance co-brand
IN,Axis Bank,Axis Bank Vistara Signature Credit Card,Club Vistara,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,legacy_verify,Legacy Vistara/Air India migration state
IN,Axis Bank,Axis Bank Vistara Credit Card,Club Vistara,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,legacy_verify,Legacy Vistara/Air India migration state
IN,Axis Bank,Kwik Axis Bank Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,UPI/quick-pay product
IN,Axis Bank,Axis Bank Vistara Infinite Credit Card,Club Vistara,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,legacy_verify,Legacy Vistara/Air India migration state
IN,Axis Bank,Axis Bank Privilege Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Core mid-tier card
IN,Axis Bank,Flipkart Axis Bank Credit Card,Flipkart SuperCoins,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Important co-brand
IN,SBI Card,CASHBACK SBI Card,SBI Cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Popular cashback card
IN,SBI Card,Flipkart SBI Card,Flipkart SuperCoins,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Important e-commerce co-brand
IN,SBI Card,IndiGo SBI Card,IndiGo BluChip,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Airline co-brand
IN,SBI Card,SimplyCLICK SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Online-spend card
IN,SBI Card,Tata Neu Infinity SBI Card,NeuCoins,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Tata ecosystem card
IN,SBI Card,SBI Card Miles Elite,SBI Travel Credits,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Travel card
IN,SBI Card,SBI Card ELITE,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Premium lifestyle card
IN,SBI Card,SBI Card PRIME,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Core premium card
IN,SBI Card,SBI Card PULSE,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Health and wellness card
IN,SBI Card,Tata Neu Plus SBI Card,NeuCoins,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Tata ecosystem card
IN,SBI Card,Doctor's SBI Card in association with IMA,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Professional segment card
IN,SBI Card,SBI Card ELITE Advantage,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Variant of ELITE family
IN,SBI Card,PhonePe SBI Card SELECT BLACK,PhonePe Cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Fintech co-brand
IN,SBI Card,PhonePe SBI Card PURPLE,PhonePe Cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Fintech co-brand
IN,SBI Card,OLA Money SBI Card,OLA Cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Fintech co-brand
IN,SBI Card,Apollo SBI Card SELECT,Apollo Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Healthcare co-brand
IN,SBI Card,Apollo SBI Card,Apollo Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Healthcare co-brand
IN,SBI Card,Tata Card SELECT,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Tata group co-brand
IN,SBI Card,Tata Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Tata group co-brand
IN,SBI Card,Paytm SBI Card SELECT,Paytm Cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Fintech co-brand
IN,SBI Card,Paytm SBI Card,Paytm Cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Fintech co-brand
IN,SBI Card,Landmark Rewards SBI Card PRIME,Landmark Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Retail co-brand
IN,SBI Card,Landmark Rewards SBI Card SELECT,Landmark Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Retail co-brand
IN,SBI Card,Landmark Rewards SBI Card,Landmark Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Retail co-brand
IN,SBI Card,Titan SBI Card,Titan Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Retail/jewellery co-brand
IN,SBI Card,Reliance SBI Card,Reliance Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Retail co-brand
IN,SBI Card,Reliance SBI Card PRIME,Reliance Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Retail co-brand
IN,SBI Card,SBI Card Unnati,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Entry/secured-style product
IN,SBI Card,SimplyCLICK Advantage SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Variant of SimplyCLICK
IN,SBI Card,SimplySAVE Advantage SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Variant of SimplySAVE
IN,SBI Card,Shaurya SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Defence segment card
IN,SBI Card,Shaurya Select SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Defence segment card
IN,SBI Card,SimplySAVE SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Mainstream shopping card
IN,SBI Card,IndiGo SBI Card ELITE,IndiGo BluChip,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Premium airline co-brand
IN,SBI Card,KrisFlyer SBI Card,Singapore Airlines KrisFlyer,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Airline co-brand
IN,SBI Card,KrisFlyer SBI Card Apex,Singapore Airlines KrisFlyer,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Premium airline co-brand
IN,SBI Card,SBI Card Miles PRIME,SBI Travel Credits,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Travel card
IN,SBI Card,SBI Card Miles,SBI Travel Credits,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Travel card
IN,SBI Card,BPCL SBI Card OCTANE,BPCL PetroBonus,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Fuel co-brand
IN,SBI Card,IRCTC SBI Card Premier,IRCTC Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Rail travel card
IN,SBI Card,Etihad Guest SBI Premier Card,Etihad Guest,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Airline co-brand
IN,SBI Card,Etihad Guest SBI Card,Etihad Guest,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Airline co-brand
IN,SBI Card,BPCL SBI Card,BPCL PetroBonus,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Fuel co-brand
IN,SBI Card,Club Vistara SBI Card PRIME,Club Vistara,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,legacy_verify,Legacy Vistara/Air India migration state
IN,SBI Card,Club Vistara SBI Card,Club Vistara,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,legacy_verify,Legacy Vistara/Air India migration state
IN,SBI Card,Air India SBI Signature Card,Air India Maharaja Club,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Airline co-brand
IN,SBI Card,Air India SBI Platinum Card,Air India Maharaja Club,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Airline co-brand
IN,SBI Card,IRCTC SBI Platinum Card,IRCTC Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Rail travel card
IN,SBI Card,Bank of Maharashtra SBI Card ELITE,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,Bank of Maharashtra SimplySAVE SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,Bank of Maharashtra SBI Card PRIME,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,PSB SBI Card ELITE,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,PSB SBI Card PRIME,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,PSB SimplySAVE SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,UCO Bank SBI Card ELITE,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,UCO Bank SBI Card PRIME,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,UCO Bank SimplySAVE SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,Central Bank of India SBI Card ELITE,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,Central Bank of India SBI Card PRIME,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,Central Bank of India SimplySAVE SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,City Union Bank SBI Card PRIME,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,City Union Bank SimplySAVE SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,Karnataka Bank SBI Card PRIME,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,Karnataka Bank SimplySAVE SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,SBI Card,South Indian Bank SBI Card PRIME,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Bank partner card
IN,ICICI Bank,Emeralde Private Metal Credit Card,ICICI Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Ultra-premium card
IN,ICICI Bank,Times Black Credit Card,ICICI Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Premium co-brand
IN,ICICI Bank,Emeralde Credit Card,ICICI Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Premium lifestyle card
IN,ICICI Bank,Sapphiro Credit Card,ICICI Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Premium card
IN,ICICI Bank,Rubyx Credit Card,ICICI Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Mid-premium card
IN,ICICI Bank,Coral Credit Card,ICICI Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Mass premium card
IN,ICICI Bank,Platinum Chip Credit Card,ICICI Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Entry rewards card
IN,ICICI Bank,Adani One Signature Credit Card,Adani One Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Travel/airport co-brand
IN,ICICI Bank,Adani One Platinum Credit Card,Adani One Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Travel/airport co-brand
IN,ICICI Bank,MakeMyTrip Credit Card,MakeMyTrip Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Travel co-brand family
IN,ICICI Bank,Emirates Emeralde Credit Card,Emirates Skywards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Airline co-brand
IN,ICICI Bank,Emirates Sapphiro Credit Card,Emirates Skywards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Airline co-brand
IN,ICICI Bank,Emirates Skywards Rubyx Credit Card,Emirates Skywards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Airline co-brand
IN,ICICI Bank,MakeMyTrip Signature Credit Card,MakeMyTrip Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Travel co-brand
IN,ICICI Bank,MakeMyTrip Platinum Credit Card,MakeMyTrip Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Travel co-brand
IN,ICICI Bank,Amazon Pay Credit Card,Amazon Pay Cashback,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Important e-commerce card
IN,ICICI Bank,HPCL Super Saver Credit Card,HPCL Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Fuel co-brand
IN,ICICI Bank,HPCL Coral Credit Card,HPCL Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Fuel co-brand
IN,ICICI Bank,Expression Credit Card,ICICI Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Custom card-art product
IN,ICICI Bank,Manchester United Signature Credit Card,Manchester United Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Sports co-brand
IN,ICICI Bank,Manchester United Platinum Credit Card,Manchester United Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Sports co-brand
IN,ICICI Bank,Chennai Super Kings Credit Card,CSK Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Sports co-brand
IN,ICICI Bank,Parakram Select Credit Card,ICICI Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Defence segment card
IN,ICICI Bank,Parakram Credit Card,ICICI Rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Defence segment card
IN,American Express India,American Express Platinum Card,Amex Membership Rewards India,https://www.americanexpress.com/in/credit-cards/all-cards/,official_portfolio_page,high,active_public,Charge card
IN,American Express India,American Express Platinum Travel Credit Card,Amex Membership Rewards India,https://www.americanexpress.com/in/credit-cards/all-cards/,official_portfolio_page,high,active_public,Travel-focused card
IN,American Express India,American Express Membership Rewards Credit Card,Amex Membership Rewards India,https://www.americanexpress.com/in/credit-cards/all-cards/,official_portfolio_page,high,active_public,Core MR card
IN,American Express India,American Express SmartEarn Credit Card,Amex Membership Rewards India,https://www.americanexpress.com/in/credit-cards/all-cards/,official_portfolio_page,high,active_public,Entry digital rewards card
IN,American Express India,American Express Gold Card,Amex Membership Rewards India,https://www.americanexpress.com/in/credit-cards/all-cards/,official_portfolio_page,high,active_public,Gold charge card family
IN,American Express India,American Express Platinum Reserve Credit Card,Amex Membership Rewards India,https://www.americanexpress.com/in/credit-cards/all-cards/,official_portfolio_page,high,active_public,Reserve variant
IN,Standard Chartered India,Ultimate Credit Card,Standard Chartered Rewards,https://www.sc.com/in/credit-cards/,official_portfolio_page,high,active_public,Premium travel card
IN,Standard Chartered India,Smart Credit Card,Standard Chartered Cashback,https://www.sc.com/in/credit-cards/,official_portfolio_page,high,active_public,Mass-market cashback card
IN,Standard Chartered India,DigiSmart Credit Card,Standard Chartered Cashback,https://www.sc.com/in/credit-cards/,official_portfolio_page,high,active_public,Digital lifestyle card
IN,Standard Chartered India,Rewards Credit Card,Standard Chartered 360 Rewards,https://www.sc.com/in/credit-cards/,official_portfolio_page,high,active_public,Core rewards card
IN,Standard Chartered India,Super Value Titanium Credit Card,Standard Chartered Cashback,https://www.sc.com/in/credit-cards/,official_portfolio_page,high,active_public,Fuel and utility card
