region,issuer,card_name,program_name,source_url,annual_fee_status,signup_bonus_status,signup_spend_status,earn_rates_status,apply_url_status,notes
IN,SBI Card,Apollo SBI Card,Apollo Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Tata Card SELECT,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Tata Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Paytm SBI Card SELECT,Paytm Cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Paytm SBI Card,Paytm Cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Landmark Rewards SBI Card PRIME,Landmark Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Landmark Rewards SBI Card SELECT,Landmark Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Landmark Rewards SBI Card,Landmark Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Titan SBI Card,Titan Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Reliance SBI Card,Reliance Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Reliance SBI Card PRIME,Reliance Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,SBI Card Unnati,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,SimplyCLICK Advantage SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,SimplySAVE Advantage SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Shaurya SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Shaurya Select SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,SimplySAVE SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,IndiGo SBI Card ELITE,IndiGo BluChip,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,KrisFlyer SBI Card,Singapore Airlines KrisFlyer,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,KrisFlyer SBI Card Apex,Singapore Airlines KrisFlyer,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,SBI Card Miles PRIME,SBI Travel Credits,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,SBI Card Miles,SBI Travel Credits,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,BPCL SBI Card OCTANE,BPCL PetroBonus,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,IRCTC SBI Card Premier,IRCTC Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Etihad Guest SBI Premier Card,Etihad Guest,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Etihad Guest SBI Card,Etihad Guest,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,BPCL SBI Card,BPCL PetroBonus,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Air India SBI Signature Card,Air India Maharaja Club,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
