region,program_name,program_kind,operator,canonical_slug_candidate,source_url,source_scope,source_confidence,status,notes
IN,Reliance Rewards,bank_rewards,SBI Card and Reliance,reliance-rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,medium,active_public,Retail co-brand layer
IN,BPCL PetroBonus,bank_rewards,BPCL and SBI Card,bpcl-petrobonus,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Fuel co-brand layer
IN,Club Vistara,airline,Tata SIA / Air India migration,club-vistara,https://www.airindia.com/in/en/maharaja-club/updates.html,official_program_page,high,legacy_verify,Existing co-brands remain but loyalty migration status must be modeled
IN,Air India Maharaja Club,airline,Air India,air-india-maharaja-club,https://www.airindia.com/in/en/maharaja-club/updates.html,official_program_page,high,active_public,Current canonical Air India loyalty program
IN,IndiGo BluChip,airline,IndiGo,indigo-bluchip,https://www.goindigo.in/loyalty.html,official_program_page,high,active_public,Current canonical IndiGo loyalty program
IN,Singapore Airlines KrisFlyer,airline,Singapore Airlines,krisflyer,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,India co-brand backed
IN,Etihad Guest,airline,Etihad Airways,etihad-guest,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,India co-brand backed
IN,ICICI Rewards,bank_rewards,ICICI Bank,icici-rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Main ICICI reward currency
IN,Adani One Rewards,bank_rewards,Adani One and ICICI Bank,adani-one-rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Airport/travel co-brand layer
IN,MakeMyTrip Rewards,bank_rewards,MakeMyTrip and ICICI Bank,makemytrip-rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Travel co-brand layer
IN,Emirates Skywards,airline,Emirates,emirates-skywards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Airline co-brand backed
IN,Amazon Pay Cashback,bank_rewards,Amazon Pay and ICICI Bank,amazon-pay-cashback,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Important cashback program
IN,HPCL Rewards,bank_rewards,HPCL and ICICI Bank,hpcl-rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,high,active_public,Fuel co-brand layer
IN,Manchester United Rewards,bank_rewards,ICICI Bank,manchester-united-rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,medium,active_public,Sports co-brand layer
IN,CSK Rewards,bank_rewards,ICICI Bank,csk-rewards,https://www.icicibank.com/personal-banking/cards/consumer-cards/credit-card/all-cards.html,official_portfolio_page,medium,active_public,Sports co-brand layer
IN,Standard Chartered 360 Rewards,bank_rewards,Standard Chartered India,standard-chartered-360-rewards,https://www.sc.com/in/credit-cards/,official_portfolio_page,high,active_public,Canonical SC rewards program
IN,Standard Chartered Cashback,bank_rewards,Standard Chartered India,standard-chartered-cashback,https://www.sc.com/in/credit-cards/,official_portfolio_page,high,active_public,Cashback family
IN,EaseMyTrip Rewards,bank_rewards,EaseMyTrip and Standard Chartered,easemytrip-rewards,https://www.sc.com/in/credit-cards/,official_portfolio_page,high,active_public,Travel co-brand layer
IN,HSBC Rewards,bank_rewards,HSBC India,hsbc-rewards-india,https://www.hsbc.co.in/credit-cards/products/premier/,official_product_page,high,active_public,Core transferable rewards family
IN,HSBC TravelOne Rewards,bank_rewards,HSBC India,hsbc-travelone-rewards,https://www.hsbc.co.in/credit-cards/products/travelone/,official_product_page,high,active_public,TravelOne-specific transfer ecosystem
IN,HSBC Cashback,bank_rewards,HSBC India,hsbc-cashback-india,https://www.hsbc.co.in/credit-cards/products/live-plus/,official_product_page,high,active_public,Cashback family
IN,IDFC FIRST Rewards,bank_rewards,IDFC FIRST Bank,idfc-first-rewards,https://www.idfcfirstbank.com/credit-card/premium-credit-card,official_search_snippet,high,active_public,Core IDFC currency
IN,IndusMoments,bank_rewards,IndusInd Bank,indusmoments,https://www.indusind.com/in/en/personal/credit-card-related/important-updates-reward-points-program.html,official_program_pdf,high,active_public,Canonical IndusInd rewards family
IN,Federal Rewards,bank_rewards,Federal Bank,federal-rewards,https://www.federalbank.co.in/-/credit-cards,official_portfolio_page,medium,active_public,Need dedicated reward-terms source during next crawl
IN,YES Rewardz,bank_rewards,YES BANK,yes-rewardz,https://www.yesbank.in/content/published/api/v1.1/assets/CONT07A77C257C7A4BDD85DB97E51D2B5B8F/native/yesbank_key_fact_statement.pdf?channelToken=21f7ccfa2fc3401091938f541a6f8f2a&download=false,official_pdf,high,active_public,Canonical YES reward family
IN,Kotak Reward Points,bank_rewards,Kotak Mahindra Bank,kotak-reward-points,https://www.kotak.com/en/gsfc.html,official_fee_schedule,medium,active_public,Generic Kotak reward family
IN,Kotak Royale Rewards,bank_rewards,Kotak Mahindra Bank,kotak-royale-rewards,https://www.kotak.com/en/gsfc.html,official_fee_schedule,medium,active_public,Signature family reward layer
IN,Kotak Mojo Points,bank_rewards,Kotak Mahindra Bank,kotak-mojo-points,https://www.kotak.com/en/personal-banking/cards/credit-cards/mojo-platinum-credit-card.html,official_product_page,high,active_public,Card-specific reward layer
IN,Kotak Zen Points,bank_rewards,Kotak Mahindra Bank,kotak-zen-points,https://www.kotak.com/en/stories-in-focus/cards/credit-cards/best-credit-cards-india-2025.html,official_blog_page,medium,active_public,Card-specific reward layer
IN,PVR INOX Rewards,bank_rewards,Kotak Mahindra Bank,pvr-inox-rewards,https://www.kotak.com/en/personal-banking/cards/credit-cards/pvr-inox-kotak-credit-card.html,official_product_page,high,active_public,Entertainment co-brand layer
IN,RBL Rewards,bank_rewards,RBL Bank,rbl-rewards,https://www.rblbank.com/personal-banking/cards/credit-cards/category,official_portfolio_page,high,active_public,Canonical RBL reward family
IN,RBL Cashback,bank_rewards,RBL Bank,rbl-cashback,https://www.rblbank.com/personal-banking/cards/credit-cards/category,official_portfolio_page,high,active_public,Cashback family
IN,IndianOil XTRA Rewards,bank_rewards,RBL Bank and IndianOil,indianoil-xtra-rewards,https://www.rblbank.com/personal-banking/cards/credit-cards/category,official_portfolio_page,high,active_public,Fuel co-brand layer
IN,Tata Neu Hotel Layer,hotel,Tata Neu / IHCL,tata-neu-hotels,https://www.tataneu.com/home,official_program_page,high,active_public,Use instead of stale standalone Taj InnerCircle framing
IN,Marriott Bonvoy,hotel,Marriott,marriott-bonvoy,https://www.marriott.com/loyalty.mi,official_program_page,high,active_public,Global hotel program relevant for India users
IN,Accor ALL,hotel,Accor,accor-all,https://all.accor.com/a/en/loyalty-program.html,official_program_page,high,active_public,Global hotel program relevant for India users
IN,IHG One Rewards,hotel,IHG,ihg-one-rewards,https://www.ihg.com/rewardsclub/content/us/en/home,official_program_page,high,active_public,Global hotel program relevant for India users
IN,Hilton Honors,hotel,Hilton,hilton-honors,https://www.hilton.com/en/hilton-honors/,official_program_page,high,active_public,Global hotel program relevant for India users
IN,World of Hyatt,hotel,Hyatt,world-of-hyatt,https://world.hyatt.com/content/gp/en/rewards.html,official_program_page,high,active_public,Global hotel program relevant for India users
